variable,category,count
month,June,3469
month,May,3361
month,April,3273
month,March,3227
month,February,3190
month,December,3180
month,January,3057
month,November,3047
month,October,2991
neighbourhood,Central Ward,10554
neighbourhood,Banks Peninsula Ward,3548
neighbourhood,Heathcote Ward,2074
neighbourhood,Riccarton Ward,1885
neighbourhood,Fendalton Ward,1605
neighbourhood,Halswell Ward,1081
neighbourhood,Spreydon Ward,1056
neighbourhood,Innes Ward,1027
neighbourhood,Cashmere Ward,1009
neighbourhood,Harewood Ward,909
neighbourhood,Coastal Ward,891
neighbourhood,Waimairi Ward,883
neighbourhood,Linwood Ward,659
neighbourhood,Papanui Ward,648
neighbourhood,Hornby Ward,594
neighbourhood,Burwood Ward,372
neighbourhood_group,Christchurch City,28795
room_type,Entire home/apt,22765
room_type,Private room,5744
room_type,Hotel room,251
room_type,Shared room,35
year,2026,19577
year,2025,9218
